,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
6109,6110,We served dinner to a friendly five bankers.,We served dinner to,a friendly five bankers,five friendly bankers,a friendly five bankers,five friendly bankers,a five bankers,a friendly bankers
6110,6111,We served dinner to a friendly twenty soldiers.,We served dinner to,a friendly twenty soldiers,twenty friendly soldiers,a friendly twenty soldiers,twenty friendly soldiers,a twenty soldiers,a friendly soldiers
6111,6112,We served dinner to a friendly twenty students.,We served dinner to,a friendly twenty students,twenty friendly students,a friendly twenty students,twenty friendly students,a twenty students,a friendly students
6112,6113,We served dinner to a friendly twenty athletes.,We served dinner to,a friendly twenty athletes,twenty friendly athletes,a friendly twenty athletes,twenty friendly athletes,a twenty athletes,a friendly athletes
6113,6114,We served dinner to a friendly twenty pianists.,We served dinner to,a friendly twenty pianists,twenty friendly pianists,a friendly twenty pianists,twenty friendly pianists,a twenty pianists,a friendly pianists
6114,6115,We served dinner to a friendly twenty teammates.,We served dinner to,a friendly twenty teammates,twenty friendly teammates,a friendly twenty teammates,twenty friendly teammates,a twenty teammates,a friendly teammates
6115,6116,We served dinner to a friendly twenty lawyers.,We served dinner to,a friendly twenty lawyers,twenty friendly lawyers,a friendly twenty lawyers,twenty friendly lawyers,a twenty lawyers,a friendly lawyers
6116,6117,We served dinner to a friendly twenty doctors.,We served dinner to,a friendly twenty doctors,twenty friendly doctors,a friendly twenty doctors,twenty friendly doctors,a twenty doctors,a friendly doctors
6117,6118,We served dinner to a friendly twenty actors.,We served dinner to,a friendly twenty actors,twenty friendly actors,a friendly twenty actors,twenty friendly actors,a twenty actors,a friendly actors
6118,6119,We served dinner to a friendly twenty Americans.,We served dinner to,a friendly twenty Americans,twenty friendly Americans,a friendly twenty Americans,twenty friendly Americans,a twenty Americans,a friendly Americans
6119,6120,We served dinner to a friendly twenty bankers.,We served dinner to,a friendly twenty bankers,twenty friendly bankers,a friendly twenty bankers,twenty friendly bankers,a twenty bankers,a friendly bankers
6120,6121,We served dinner to a collegial three soldiers.,We served dinner to,a collegial three soldiers,three collegial soldiers,a collegial three soldiers,three collegial soldiers,a three soldiers,a collegial soldiers
6121,6122,We served dinner to a collegial three students.,We served dinner to,a collegial three students,three collegial students,a collegial three students,three collegial students,a three students,a collegial students
6122,6123,We served dinner to a collegial three athletes.,We served dinner to,a collegial three athletes,three collegial athletes,a collegial three athletes,three collegial athletes,a three athletes,a collegial athletes
6123,6124,We served dinner to a collegial three pianists.,We served dinner to,a collegial three pianists,three collegial pianists,a collegial three pianists,three collegial pianists,a three pianists,a collegial pianists
6124,6125,We served dinner to a collegial three teammates.,We served dinner to,a collegial three teammates,three collegial teammates,a collegial three teammates,three collegial teammates,a three teammates,a collegial teammates
6125,6126,We served dinner to a collegial three lawyers.,We served dinner to,a collegial three lawyers,three collegial lawyers,a collegial three lawyers,three collegial lawyers,a three lawyers,a collegial lawyers
6126,6127,We served dinner to a collegial three doctors.,We served dinner to,a collegial three doctors,three collegial doctors,a collegial three doctors,three collegial doctors,a three doctors,a collegial doctors
6127,6128,We served dinner to a collegial three actors.,We served dinner to,a collegial three actors,three collegial actors,a collegial three actors,three collegial actors,a three actors,a collegial actors
6128,6129,We served dinner to a collegial three Americans.,We served dinner to,a collegial three Americans,three collegial Americans,a collegial three Americans,three collegial Americans,a three Americans,a collegial Americans
6129,6130,We served dinner to a collegial three bankers.,We served dinner to,a collegial three bankers,three collegial bankers,a collegial three bankers,three collegial bankers,a three bankers,a collegial bankers
6130,6131,We served dinner to a collegial five soldiers.,We served dinner to,a collegial five soldiers,five collegial soldiers,a collegial five soldiers,five collegial soldiers,a five soldiers,a collegial soldiers
6131,6132,We served dinner to a collegial five students.,We served dinner to,a collegial five students,five collegial students,a collegial five students,five collegial students,a five students,a collegial students
6132,6133,We served dinner to a collegial five athletes.,We served dinner to,a collegial five athletes,five collegial athletes,a collegial five athletes,five collegial athletes,a five athletes,a collegial athletes
6133,6134,We served dinner to a collegial five pianists.,We served dinner to,a collegial five pianists,five collegial pianists,a collegial five pianists,five collegial pianists,a five pianists,a collegial pianists
6134,6135,We served dinner to a collegial five teammates.,We served dinner to,a collegial five teammates,five collegial teammates,a collegial five teammates,five collegial teammates,a five teammates,a collegial teammates
6135,6136,We served dinner to a collegial five lawyers.,We served dinner to,a collegial five lawyers,five collegial lawyers,a collegial five lawyers,five collegial lawyers,a five lawyers,a collegial lawyers
6136,6137,We served dinner to a collegial five doctors.,We served dinner to,a collegial five doctors,five collegial doctors,a collegial five doctors,five collegial doctors,a five doctors,a collegial doctors
6137,6138,We served dinner to a collegial five actors.,We served dinner to,a collegial five actors,five collegial actors,a collegial five actors,five collegial actors,a five actors,a collegial actors
6138,6139,We served dinner to a collegial five Americans.,We served dinner to,a collegial five Americans,five collegial Americans,a collegial five Americans,five collegial Americans,a five Americans,a collegial Americans
6139,6140,We served dinner to a collegial five bankers.,We served dinner to,a collegial five bankers,five collegial bankers,a collegial five bankers,five collegial bankers,a five bankers,a collegial bankers
6140,6141,We served dinner to a collegial twenty soldiers.,We served dinner to,a collegial twenty soldiers,twenty collegial soldiers,a collegial twenty soldiers,twenty collegial soldiers,a twenty soldiers,a collegial soldiers
6141,6142,We served dinner to a collegial twenty students.,We served dinner to,a collegial twenty students,twenty collegial students,a collegial twenty students,twenty collegial students,a twenty students,a collegial students
6142,6143,We served dinner to a collegial twenty athletes.,We served dinner to,a collegial twenty athletes,twenty collegial athletes,a collegial twenty athletes,twenty collegial athletes,a twenty athletes,a collegial athletes
6143,6144,We served dinner to a collegial twenty pianists.,We served dinner to,a collegial twenty pianists,twenty collegial pianists,a collegial twenty pianists,twenty collegial pianists,a twenty pianists,a collegial pianists
6144,6145,We served dinner to a collegial twenty teammates.,We served dinner to,a collegial twenty teammates,twenty collegial teammates,a collegial twenty teammates,twenty collegial teammates,a twenty teammates,a collegial teammates
6145,6146,We served dinner to a collegial twenty lawyers.,We served dinner to,a collegial twenty lawyers,twenty collegial lawyers,a collegial twenty lawyers,twenty collegial lawyers,a twenty lawyers,a collegial lawyers
6146,6147,We served dinner to a collegial twenty doctors.,We served dinner to,a collegial twenty doctors,twenty collegial doctors,a collegial twenty doctors,twenty collegial doctors,a twenty doctors,a collegial doctors
6147,6148,We served dinner to a collegial twenty actors.,We served dinner to,a collegial twenty actors,twenty collegial actors,a collegial twenty actors,twenty collegial actors,a twenty actors,a collegial actors
6148,6149,We served dinner to a collegial twenty Americans.,We served dinner to,a collegial twenty Americans,twenty collegial Americans,a collegial twenty Americans,twenty collegial Americans,a twenty Americans,a collegial Americans
6149,6150,We served dinner to a collegial twenty bankers.,We served dinner to,a collegial twenty bankers,twenty collegial bankers,a collegial twenty bankers,twenty collegial bankers,a twenty bankers,a collegial bankers
6150,6151,We served dinner to a hopeful three soldiers.,We served dinner to,a hopeful three soldiers,three hopeful soldiers,a hopeful three soldiers,three hopeful soldiers,a three soldiers,a hopeful soldiers
6151,6152,We served dinner to a hopeful three students.,We served dinner to,a hopeful three students,three hopeful students,a hopeful three students,three hopeful students,a three students,a hopeful students
6152,6153,We served dinner to a hopeful three athletes.,We served dinner to,a hopeful three athletes,three hopeful athletes,a hopeful three athletes,three hopeful athletes,a three athletes,a hopeful athletes
6153,6154,We served dinner to a hopeful three pianists.,We served dinner to,a hopeful three pianists,three hopeful pianists,a hopeful three pianists,three hopeful pianists,a three pianists,a hopeful pianists
6154,6155,We served dinner to a hopeful three teammates.,We served dinner to,a hopeful three teammates,three hopeful teammates,a hopeful three teammates,three hopeful teammates,a three teammates,a hopeful teammates
6155,6156,We served dinner to a hopeful three lawyers.,We served dinner to,a hopeful three lawyers,three hopeful lawyers,a hopeful three lawyers,three hopeful lawyers,a three lawyers,a hopeful lawyers
6156,6157,We served dinner to a hopeful three doctors.,We served dinner to,a hopeful three doctors,three hopeful doctors,a hopeful three doctors,three hopeful doctors,a three doctors,a hopeful doctors
6157,6158,We served dinner to a hopeful three actors.,We served dinner to,a hopeful three actors,three hopeful actors,a hopeful three actors,three hopeful actors,a three actors,a hopeful actors
6158,6159,We served dinner to a hopeful three Americans.,We served dinner to,a hopeful three Americans,three hopeful Americans,a hopeful three Americans,three hopeful Americans,a three Americans,a hopeful Americans
6159,6160,We served dinner to a hopeful three bankers.,We served dinner to,a hopeful three bankers,three hopeful bankers,a hopeful three bankers,three hopeful bankers,a three bankers,a hopeful bankers
6160,6161,We served dinner to a hopeful five soldiers.,We served dinner to,a hopeful five soldiers,five hopeful soldiers,a hopeful five soldiers,five hopeful soldiers,a five soldiers,a hopeful soldiers
6161,6162,We served dinner to a hopeful five students.,We served dinner to,a hopeful five students,five hopeful students,a hopeful five students,five hopeful students,a five students,a hopeful students
6162,6163,We served dinner to a hopeful five athletes.,We served dinner to,a hopeful five athletes,five hopeful athletes,a hopeful five athletes,five hopeful athletes,a five athletes,a hopeful athletes
6163,6164,We served dinner to a hopeful five pianists.,We served dinner to,a hopeful five pianists,five hopeful pianists,a hopeful five pianists,five hopeful pianists,a five pianists,a hopeful pianists
6164,6165,We served dinner to a hopeful five teammates.,We served dinner to,a hopeful five teammates,five hopeful teammates,a hopeful five teammates,five hopeful teammates,a five teammates,a hopeful teammates
6165,6166,We served dinner to a hopeful five lawyers.,We served dinner to,a hopeful five lawyers,five hopeful lawyers,a hopeful five lawyers,five hopeful lawyers,a five lawyers,a hopeful lawyers
6166,6167,We served dinner to a hopeful five doctors.,We served dinner to,a hopeful five doctors,five hopeful doctors,a hopeful five doctors,five hopeful doctors,a five doctors,a hopeful doctors
6167,6168,We served dinner to a hopeful five actors.,We served dinner to,a hopeful five actors,five hopeful actors,a hopeful five actors,five hopeful actors,a five actors,a hopeful actors
6168,6169,We served dinner to a hopeful five Americans.,We served dinner to,a hopeful five Americans,five hopeful Americans,a hopeful five Americans,five hopeful Americans,a five Americans,a hopeful Americans
6169,6170,We served dinner to a hopeful five bankers.,We served dinner to,a hopeful five bankers,five hopeful bankers,a hopeful five bankers,five hopeful bankers,a five bankers,a hopeful bankers
6170,6171,We served dinner to a hopeful twenty soldiers.,We served dinner to,a hopeful twenty soldiers,twenty hopeful soldiers,a hopeful twenty soldiers,twenty hopeful soldiers,a twenty soldiers,a hopeful soldiers
6171,6172,We served dinner to a hopeful twenty students.,We served dinner to,a hopeful twenty students,twenty hopeful students,a hopeful twenty students,twenty hopeful students,a twenty students,a hopeful students
6172,6173,We served dinner to a hopeful twenty athletes.,We served dinner to,a hopeful twenty athletes,twenty hopeful athletes,a hopeful twenty athletes,twenty hopeful athletes,a twenty athletes,a hopeful athletes
6173,6174,We served dinner to a hopeful twenty pianists.,We served dinner to,a hopeful twenty pianists,twenty hopeful pianists,a hopeful twenty pianists,twenty hopeful pianists,a twenty pianists,a hopeful pianists
6174,6175,We served dinner to a hopeful twenty teammates.,We served dinner to,a hopeful twenty teammates,twenty hopeful teammates,a hopeful twenty teammates,twenty hopeful teammates,a twenty teammates,a hopeful teammates
6175,6176,We served dinner to a hopeful twenty lawyers.,We served dinner to,a hopeful twenty lawyers,twenty hopeful lawyers,a hopeful twenty lawyers,twenty hopeful lawyers,a twenty lawyers,a hopeful lawyers
6176,6177,We served dinner to a hopeful twenty doctors.,We served dinner to,a hopeful twenty doctors,twenty hopeful doctors,a hopeful twenty doctors,twenty hopeful doctors,a twenty doctors,a hopeful doctors
6177,6178,We served dinner to a hopeful twenty actors.,We served dinner to,a hopeful twenty actors,twenty hopeful actors,a hopeful twenty actors,twenty hopeful actors,a twenty actors,a hopeful actors
6178,6179,We served dinner to a hopeful twenty Americans.,We served dinner to,a hopeful twenty Americans,twenty hopeful Americans,a hopeful twenty Americans,twenty hopeful Americans,a twenty Americans,a hopeful Americans
6179,6180,We served dinner to a hopeful twenty bankers.,We served dinner to,a hopeful twenty bankers,twenty hopeful bankers,a hopeful twenty bankers,twenty hopeful bankers,a twenty bankers,a hopeful bankers
6180,6181,We served dinner to a shy three soldiers.,We served dinner to,a shy three soldiers,three shy soldiers,a shy three soldiers,three shy soldiers,a three soldiers,a shy soldiers
6181,6182,We served dinner to a shy three students.,We served dinner to,a shy three students,three shy students,a shy three students,three shy students,a three students,a shy students
6182,6183,We served dinner to a shy three athletes.,We served dinner to,a shy three athletes,three shy athletes,a shy three athletes,three shy athletes,a three athletes,a shy athletes
6183,6184,We served dinner to a shy three pianists.,We served dinner to,a shy three pianists,three shy pianists,a shy three pianists,three shy pianists,a three pianists,a shy pianists
6184,6185,We served dinner to a shy three teammates.,We served dinner to,a shy three teammates,three shy teammates,a shy three teammates,three shy teammates,a three teammates,a shy teammates
6185,6186,We served dinner to a shy three lawyers.,We served dinner to,a shy three lawyers,three shy lawyers,a shy three lawyers,three shy lawyers,a three lawyers,a shy lawyers
6186,6187,We served dinner to a shy three doctors.,We served dinner to,a shy three doctors,three shy doctors,a shy three doctors,three shy doctors,a three doctors,a shy doctors
6187,6188,We served dinner to a shy three actors.,We served dinner to,a shy three actors,three shy actors,a shy three actors,three shy actors,a three actors,a shy actors
6188,6189,We served dinner to a shy three Americans.,We served dinner to,a shy three Americans,three shy Americans,a shy three Americans,three shy Americans,a three Americans,a shy Americans
6189,6190,We served dinner to a shy three bankers.,We served dinner to,a shy three bankers,three shy bankers,a shy three bankers,three shy bankers,a three bankers,a shy bankers
6190,6191,We served dinner to a shy five soldiers.,We served dinner to,a shy five soldiers,five shy soldiers,a shy five soldiers,five shy soldiers,a five soldiers,a shy soldiers
6191,6192,We served dinner to a shy five students.,We served dinner to,a shy five students,five shy students,a shy five students,five shy students,a five students,a shy students
6192,6193,We served dinner to a shy five athletes.,We served dinner to,a shy five athletes,five shy athletes,a shy five athletes,five shy athletes,a five athletes,a shy athletes
6193,6194,We served dinner to a shy five pianists.,We served dinner to,a shy five pianists,five shy pianists,a shy five pianists,five shy pianists,a five pianists,a shy pianists
6194,6195,We served dinner to a shy five teammates.,We served dinner to,a shy five teammates,five shy teammates,a shy five teammates,five shy teammates,a five teammates,a shy teammates
6195,6196,We served dinner to a shy five lawyers.,We served dinner to,a shy five lawyers,five shy lawyers,a shy five lawyers,five shy lawyers,a five lawyers,a shy lawyers
6196,6197,We served dinner to a shy five doctors.,We served dinner to,a shy five doctors,five shy doctors,a shy five doctors,five shy doctors,a five doctors,a shy doctors
6197,6198,We served dinner to a shy five actors.,We served dinner to,a shy five actors,five shy actors,a shy five actors,five shy actors,a five actors,a shy actors
6198,6199,We served dinner to a shy five Americans.,We served dinner to,a shy five Americans,five shy Americans,a shy five Americans,five shy Americans,a five Americans,a shy Americans
6199,6200,We served dinner to a shy five bankers.,We served dinner to,a shy five bankers,five shy bankers,a shy five bankers,five shy bankers,a five bankers,a shy bankers
6200,6201,We served dinner to a shy twenty soldiers.,We served dinner to,a shy twenty soldiers,twenty shy soldiers,a shy twenty soldiers,twenty shy soldiers,a twenty soldiers,a shy soldiers
6201,6202,We served dinner to a shy twenty students.,We served dinner to,a shy twenty students,twenty shy students,a shy twenty students,twenty shy students,a twenty students,a shy students
6202,6203,We served dinner to a shy twenty athletes.,We served dinner to,a shy twenty athletes,twenty shy athletes,a shy twenty athletes,twenty shy athletes,a twenty athletes,a shy athletes
6203,6204,We served dinner to a shy twenty pianists.,We served dinner to,a shy twenty pianists,twenty shy pianists,a shy twenty pianists,twenty shy pianists,a twenty pianists,a shy pianists
6204,6205,We served dinner to a shy twenty teammates.,We served dinner to,a shy twenty teammates,twenty shy teammates,a shy twenty teammates,twenty shy teammates,a twenty teammates,a shy teammates
6205,6206,We served dinner to a shy twenty lawyers.,We served dinner to,a shy twenty lawyers,twenty shy lawyers,a shy twenty lawyers,twenty shy lawyers,a twenty lawyers,a shy lawyers
6206,6207,We served dinner to a shy twenty doctors.,We served dinner to,a shy twenty doctors,twenty shy doctors,a shy twenty doctors,twenty shy doctors,a twenty doctors,a shy doctors
6207,6208,We served dinner to a shy twenty actors.,We served dinner to,a shy twenty actors,twenty shy actors,a shy twenty actors,twenty shy actors,a twenty actors,a shy actors
6208,6209,We served dinner to a shy twenty Americans.,We served dinner to,a shy twenty Americans,twenty shy Americans,a shy twenty Americans,twenty shy Americans,a twenty Americans,a shy Americans
6209,6210,We served dinner to a shy twenty bankers.,We served dinner to,a shy twenty bankers,twenty shy bankers,a shy twenty bankers,twenty shy bankers,a twenty bankers,a shy bankers
6210,6211,We served dinner to a bold three soldiers.,We served dinner to,a bold three soldiers,three bold soldiers,a bold three soldiers,three bold soldiers,a three soldiers,a bold soldiers
6211,6212,We served dinner to a bold three students.,We served dinner to,a bold three students,three bold students,a bold three students,three bold students,a three students,a bold students
6212,6213,We served dinner to a bold three athletes.,We served dinner to,a bold three athletes,three bold athletes,a bold three athletes,three bold athletes,a three athletes,a bold athletes
6213,6214,We served dinner to a bold three pianists.,We served dinner to,a bold three pianists,three bold pianists,a bold three pianists,three bold pianists,a three pianists,a bold pianists
6214,6215,We served dinner to a bold three teammates.,We served dinner to,a bold three teammates,three bold teammates,a bold three teammates,three bold teammates,a three teammates,a bold teammates
6215,6216,We served dinner to a bold three lawyers.,We served dinner to,a bold three lawyers,three bold lawyers,a bold three lawyers,three bold lawyers,a three lawyers,a bold lawyers
6216,6217,We served dinner to a bold three doctors.,We served dinner to,a bold three doctors,three bold doctors,a bold three doctors,three bold doctors,a three doctors,a bold doctors
6217,6218,We served dinner to a bold three actors.,We served dinner to,a bold three actors,three bold actors,a bold three actors,three bold actors,a three actors,a bold actors
6218,6219,We served dinner to a bold three Americans.,We served dinner to,a bold three Americans,three bold Americans,a bold three Americans,three bold Americans,a three Americans,a bold Americans
6219,6220,We served dinner to a bold three bankers.,We served dinner to,a bold three bankers,three bold bankers,a bold three bankers,three bold bankers,a three bankers,a bold bankers
6220,6221,We served dinner to a bold five soldiers.,We served dinner to,a bold five soldiers,five bold soldiers,a bold five soldiers,five bold soldiers,a five soldiers,a bold soldiers
6221,6222,We served dinner to a bold five students.,We served dinner to,a bold five students,five bold students,a bold five students,five bold students,a five students,a bold students
6222,6223,We served dinner to a bold five athletes.,We served dinner to,a bold five athletes,five bold athletes,a bold five athletes,five bold athletes,a five athletes,a bold athletes
6223,6224,We served dinner to a bold five pianists.,We served dinner to,a bold five pianists,five bold pianists,a bold five pianists,five bold pianists,a five pianists,a bold pianists
6224,6225,We served dinner to a bold five teammates.,We served dinner to,a bold five teammates,five bold teammates,a bold five teammates,five bold teammates,a five teammates,a bold teammates
6225,6226,We served dinner to a bold five lawyers.,We served dinner to,a bold five lawyers,five bold lawyers,a bold five lawyers,five bold lawyers,a five lawyers,a bold lawyers
6226,6227,We served dinner to a bold five doctors.,We served dinner to,a bold five doctors,five bold doctors,a bold five doctors,five bold doctors,a five doctors,a bold doctors
6227,6228,We served dinner to a bold five actors.,We served dinner to,a bold five actors,five bold actors,a bold five actors,five bold actors,a five actors,a bold actors
6228,6229,We served dinner to a bold five Americans.,We served dinner to,a bold five Americans,five bold Americans,a bold five Americans,five bold Americans,a five Americans,a bold Americans
6229,6230,We served dinner to a bold five bankers.,We served dinner to,a bold five bankers,five bold bankers,a bold five bankers,five bold bankers,a five bankers,a bold bankers
6230,6231,We served dinner to a bold twenty soldiers.,We served dinner to,a bold twenty soldiers,twenty bold soldiers,a bold twenty soldiers,twenty bold soldiers,a twenty soldiers,a bold soldiers
6231,6232,We served dinner to a bold twenty students.,We served dinner to,a bold twenty students,twenty bold students,a bold twenty students,twenty bold students,a twenty students,a bold students
6232,6233,We served dinner to a bold twenty athletes.,We served dinner to,a bold twenty athletes,twenty bold athletes,a bold twenty athletes,twenty bold athletes,a twenty athletes,a bold athletes
6233,6234,We served dinner to a bold twenty pianists.,We served dinner to,a bold twenty pianists,twenty bold pianists,a bold twenty pianists,twenty bold pianists,a twenty pianists,a bold pianists
6234,6235,We served dinner to a bold twenty teammates.,We served dinner to,a bold twenty teammates,twenty bold teammates,a bold twenty teammates,twenty bold teammates,a twenty teammates,a bold teammates
6235,6236,We served dinner to a bold twenty lawyers.,We served dinner to,a bold twenty lawyers,twenty bold lawyers,a bold twenty lawyers,twenty bold lawyers,a twenty lawyers,a bold lawyers
6236,6237,We served dinner to a bold twenty doctors.,We served dinner to,a bold twenty doctors,twenty bold doctors,a bold twenty doctors,twenty bold doctors,a twenty doctors,a bold doctors
6237,6238,We served dinner to a bold twenty actors.,We served dinner to,a bold twenty actors,twenty bold actors,a bold twenty actors,twenty bold actors,a twenty actors,a bold actors
6238,6239,We served dinner to a bold twenty Americans.,We served dinner to,a bold twenty Americans,twenty bold Americans,a bold twenty Americans,twenty bold Americans,a twenty Americans,a bold Americans
6239,6240,We served dinner to a bold twenty bankers.,We served dinner to,a bold twenty bankers,twenty bold bankers,a bold twenty bankers,twenty bold bankers,a twenty bankers,a bold bankers
6240,6241,We served dinner to a grinning three soldiers.,We served dinner to,a grinning three soldiers,three grinning soldiers,a grinning three soldiers,three grinning soldiers,a three soldiers,a grinning soldiers
6241,6242,We served dinner to a grinning three students.,We served dinner to,a grinning three students,three grinning students,a grinning three students,three grinning students,a three students,a grinning students
6242,6243,We served dinner to a grinning three athletes.,We served dinner to,a grinning three athletes,three grinning athletes,a grinning three athletes,three grinning athletes,a three athletes,a grinning athletes
6243,6244,We served dinner to a grinning three pianists.,We served dinner to,a grinning three pianists,three grinning pianists,a grinning three pianists,three grinning pianists,a three pianists,a grinning pianists
6244,6245,We served dinner to a grinning three teammates.,We served dinner to,a grinning three teammates,three grinning teammates,a grinning three teammates,three grinning teammates,a three teammates,a grinning teammates
6245,6246,We served dinner to a grinning three lawyers.,We served dinner to,a grinning three lawyers,three grinning lawyers,a grinning three lawyers,three grinning lawyers,a three lawyers,a grinning lawyers
6246,6247,We served dinner to a grinning three doctors.,We served dinner to,a grinning three doctors,three grinning doctors,a grinning three doctors,three grinning doctors,a three doctors,a grinning doctors
6247,6248,We served dinner to a grinning three actors.,We served dinner to,a grinning three actors,three grinning actors,a grinning three actors,three grinning actors,a three actors,a grinning actors
6248,6249,We served dinner to a grinning three Americans.,We served dinner to,a grinning three Americans,three grinning Americans,a grinning three Americans,three grinning Americans,a three Americans,a grinning Americans
6249,6250,We served dinner to a grinning three bankers.,We served dinner to,a grinning three bankers,three grinning bankers,a grinning three bankers,three grinning bankers,a three bankers,a grinning bankers
6250,6251,We served dinner to a grinning five soldiers.,We served dinner to,a grinning five soldiers,five grinning soldiers,a grinning five soldiers,five grinning soldiers,a five soldiers,a grinning soldiers
6251,6252,We served dinner to a grinning five students.,We served dinner to,a grinning five students,five grinning students,a grinning five students,five grinning students,a five students,a grinning students
6252,6253,We served dinner to a grinning five athletes.,We served dinner to,a grinning five athletes,five grinning athletes,a grinning five athletes,five grinning athletes,a five athletes,a grinning athletes
6253,6254,We served dinner to a grinning five pianists.,We served dinner to,a grinning five pianists,five grinning pianists,a grinning five pianists,five grinning pianists,a five pianists,a grinning pianists
6254,6255,We served dinner to a grinning five teammates.,We served dinner to,a grinning five teammates,five grinning teammates,a grinning five teammates,five grinning teammates,a five teammates,a grinning teammates
6255,6256,We served dinner to a grinning five lawyers.,We served dinner to,a grinning five lawyers,five grinning lawyers,a grinning five lawyers,five grinning lawyers,a five lawyers,a grinning lawyers
6256,6257,We served dinner to a grinning five doctors.,We served dinner to,a grinning five doctors,five grinning doctors,a grinning five doctors,five grinning doctors,a five doctors,a grinning doctors
6257,6258,We served dinner to a grinning five actors.,We served dinner to,a grinning five actors,five grinning actors,a grinning five actors,five grinning actors,a five actors,a grinning actors
6258,6259,We served dinner to a grinning five Americans.,We served dinner to,a grinning five Americans,five grinning Americans,a grinning five Americans,five grinning Americans,a five Americans,a grinning Americans
6259,6260,We served dinner to a grinning five bankers.,We served dinner to,a grinning five bankers,five grinning bankers,a grinning five bankers,five grinning bankers,a five bankers,a grinning bankers
6260,6261,We served dinner to a grinning twenty soldiers.,We served dinner to,a grinning twenty soldiers,twenty grinning soldiers,a grinning twenty soldiers,twenty grinning soldiers,a twenty soldiers,a grinning soldiers
6261,6262,We served dinner to a grinning twenty students.,We served dinner to,a grinning twenty students,twenty grinning students,a grinning twenty students,twenty grinning students,a twenty students,a grinning students
6262,6263,We served dinner to a grinning twenty athletes.,We served dinner to,a grinning twenty athletes,twenty grinning athletes,a grinning twenty athletes,twenty grinning athletes,a twenty athletes,a grinning athletes
6263,6264,We served dinner to a grinning twenty pianists.,We served dinner to,a grinning twenty pianists,twenty grinning pianists,a grinning twenty pianists,twenty grinning pianists,a twenty pianists,a grinning pianists
6264,6265,We served dinner to a grinning twenty teammates.,We served dinner to,a grinning twenty teammates,twenty grinning teammates,a grinning twenty teammates,twenty grinning teammates,a twenty teammates,a grinning teammates
6265,6266,We served dinner to a grinning twenty lawyers.,We served dinner to,a grinning twenty lawyers,twenty grinning lawyers,a grinning twenty lawyers,twenty grinning lawyers,a twenty lawyers,a grinning lawyers
6266,6267,We served dinner to a grinning twenty doctors.,We served dinner to,a grinning twenty doctors,twenty grinning doctors,a grinning twenty doctors,twenty grinning doctors,a twenty doctors,a grinning doctors
6267,6268,We served dinner to a grinning twenty actors.,We served dinner to,a grinning twenty actors,twenty grinning actors,a grinning twenty actors,twenty grinning actors,a twenty actors,a grinning actors
6268,6269,We served dinner to a grinning twenty Americans.,We served dinner to,a grinning twenty Americans,twenty grinning Americans,a grinning twenty Americans,twenty grinning Americans,a twenty Americans,a grinning Americans
6269,6270,We served dinner to a grinning twenty bankers.,We served dinner to,a grinning twenty bankers,twenty grinning bankers,a grinning twenty bankers,twenty grinning bankers,a twenty bankers,a grinning bankers
6270,6271,An astonishing three soldiers greeted us at the door.,An astonishing three soldiers greeted us at the door,An astonishing three soldiers,three astonishing soldiers,an astonishing three soldiers,three astonishing soldiers,a three soldiers,an astonishing soldiers
6271,6272,An astonishing three students greeted us at the door.,An astonishing three students greeted us at the door,An astonishing three students,three astonishing students,an astonishing three students,three astonishing students,a three students,an astonishing students
6272,6273,An astonishing three athletes greeted us at the door.,An astonishing three athletes greeted us at the door,An astonishing three athletes,three astonishing athletes,an astonishing three athletes,three astonishing athletes,a three athletes,an astonishing athletes
6273,6274,An astonishing three pianists greeted us at the door.,An astonishing three pianists greeted us at the door,An astonishing three pianists,three astonishing pianists,an astonishing three pianists,three astonishing pianists,a three pianists,an astonishing pianists
6274,6275,An astonishing three teammates greeted us at the door.,An astonishing three teammates greeted us at the door,An astonishing three teammates,three astonishing teammates,an astonishing three teammates,three astonishing teammates,a three teammates,an astonishing teammates
6275,6276,An astonishing three lawyers greeted us at the door.,An astonishing three lawyers greeted us at the door,An astonishing three lawyers,three astonishing lawyers,an astonishing three lawyers,three astonishing lawyers,a three lawyers,an astonishing lawyers
6276,6277,An astonishing three doctors greeted us at the door.,An astonishing three doctors greeted us at the door,An astonishing three doctors,three astonishing doctors,an astonishing three doctors,three astonishing doctors,a three doctors,an astonishing doctors
6277,6278,An astonishing three actors greeted us at the door.,An astonishing three actors greeted us at the door,An astonishing three actors,three astonishing actors,an astonishing three actors,three astonishing actors,a three actors,an astonishing actors
6278,6279,An astonishing three Americans greeted us at the door.,An astonishing three Americans greeted us at the door,An astonishing three Americans,three astonishing Americans,an astonishing three Americans,three astonishing Americans,a three Americans,an astonishing Americans
6279,6280,An astonishing three bankers greeted us at the door.,An astonishing three bankers greeted us at the door,An astonishing three bankers,three astonishing bankers,an astonishing three bankers,three astonishing bankers,a three bankers,an astonishing bankers
6280,6281,An astonishing five soldiers greeted us at the door.,An astonishing five soldiers greeted us at the door,An astonishing five soldiers,five astonishing soldiers,an astonishing five soldiers,five astonishing soldiers,a five soldiers,an astonishing soldiers
6281,6282,An astonishing five students greeted us at the door.,An astonishing five students greeted us at the door,An astonishing five students,five astonishing students,an astonishing five students,five astonishing students,a five students,an astonishing students
