idx,construction,corrupted_construction,corrupted_sentence
11797,a good eight or nine inches,a eight or nine good inches,He was a eight or nine good inches taller than she and built like the US Army version of a Greek god .
11798,a few thousand dollars,a thousand few dollars,"My mother left it to me , just a thousand few dollars , but I want you to have it ."
11799,an extra two pillows,an two extra pillows,"By the time she made it to my bed , I was mentally thinking of the next time I cleaned her closet out for her , while she was taking an two extra pillows off the bed ."
11800,a few hundred Cadets,a hundred few Cadets,"In front of 38,500 mostly hostile fans and a hundred few Cadets and graduates in Stanford Stadium , Army proceeded to lose four fumbles and had four passes intercepted , leading to the Cardinals scoring five times ."
11801,a net 44 yards,a 44 net yards,"Hall completed nine of 21 passes for 99 yards , one touchdown pass , and one interception , and rushed for a 44 net yards , running the option well ."
11802,a few thousand dollars,a thousand few dollars,"The Army Athletic Association ( AAA ) , which ran a deficit in the 1975 fiscal year , was in the "" black "" by a thousand few dollars in the twelve months ending in June 1976 , by sharply cutting back on expenses ."
11803,an additional 15 yards,an 15 additional yards,"After the defensive back disagreed with the call , he was ejected from the game , and VMI penalized an 15 additional yards ."
11804,a full 30 seconds,a 30 full seconds,"Frank , who knew the sound well , let it run for a 30 full seconds before replacing it on the pin of the key - ring , instantly stopping the noise ."
11805,a further six kilometres,a six further kilometres,The two small uninhabited islands were a six further kilometres offshore .
11806,a further five kilometres,a five further kilometres,The remaining airport construction equipment moved to a site a five further kilometres inland to begin the construction of the wildlife sanctuary around several of the large areas left uncleared by the former owners of those farms .
11807,a full 24 hours,a 24 full hours,For a 24 full hours the rain teemed down .
11808,a few hundred metres,a hundred few metres,The helicopter had settled a hundred few metres from his house .
11809,a further five times,a five further times,The procedure was repeated a five further times .
11810,a good 100 metres,a 100 good metres,"When both were clear by a 100 good metres , the ropes were untied and tossed to the towing trawler ."
11811,a few thousand tonnes,a thousand few tonnes,"Currently , these countries each produce from a few hundred to a thousand few tonnes annually , except Mozambique , where seaweed farming has ceased owing to non - technical reasons ( including marketing ) ."
11812,a further 11 bodies,a 11 further bodies,"Since publication of _ The State of World Fisheries and Aquaculture 2012 _ , a 11 further bodies have conducted performance reviews ."
11813,an extra billion tonnes,an billion extra tonnes,This means an billion extra tonnes of cereals and 200 million tonnes of meat annually by 2050 compared with 2005 - 07 production.25
11814,an additional three categories,an three additional categories,"Since the report came out , standards for an three additional categories of appliances have been adopted ."
11815,a few hundred miles,a hundred few miles,""" We 're a hundred few miles south of our territory , "" Trip said ."
11816,a few hundred yards,a hundred few yards,"Those trees were a hundred few yards away , the start of a dense and dark forest that could hide a lot ."
11817,a few hundred years,a hundred few years,"_ There were some rogue sorcerers a hundred few years ago that unfortunately made things difficult for the rest of the Referatu , _ Jaxi said as Trip walked to the gangplank . _"
11818,a full five hours,a five full hours,"I slept a five full hours before you ran toward me , your menacing growls reverberating through my chest ."
11819,a brief ten minutes,a ten brief minutes,The counselor reviewed my applications for universities with me in a ten brief minutes time .
11820,a mere 20 feet,a 20 mere feet,"Dane , a 20 mere feet above the ground , arms at his side , pointed at Anchorax and then at himself , a gesture to indicate only they two should meet ."
11821,a mere three metres,a three mere metres,"As they neared , a three mere metres away , the female fell to the ground , hands out in front , parallel , placed on the earth in homage to the three aliens approaching ."
11822,a full 360 degrees,a 360 full degrees,She turned a 360 full degrees taking in the devastation .
11823,a few thousand miles,a thousand few miles,"His plan had been to talk Qudor Volkan into allowing him to return to Area 51 to rescue a time machine , it would mean being escorted by one of his henchmen but , by the time they were a thousand few miles into their journey , Qudor Volkan and everything within 50 miles would be incinerated ."
11824,a mere two seconds,a two mere seconds,"Within a two mere seconds , the wasp had covered a distance of eighty feet to land square on Kevin 's upper back ."
11825,a good three times,a three good times,"Just in case you were having _ any _ lingering doubts after you already nodded to my superiority — "" With that last word he severely pushed at her , making her roll a three good times ."
11826,a few hundred years,a hundred few years,Some newspapers later claimed he was the first for a hundred few years to be jailed for a period of such length by the national parliament of any country following British tradition .
11827,a long ten minutes,a ten long minutes,"It was a ten long minutes , and it was like waiting in an airport ."
11828,a few hundred dollars,a hundred few dollars,It had n't been hard to find a capable hacker willing to research Adam for a hundred few dollars .
11829,a cool 38 degrees,a 38 cool degrees,"I keg my beer and put it in the fridge to get it down to a 38 cool degrees , usually overnight in the fridge will do the trick ."
11830,a full ten minutes,a ten full minutes,"As a result , we were well matched and exchanged thrust and counter thrust , parry and swing for a ten full minutes , until we were both getting exhausted ."
11831,a few hundred yards,a hundred few yards,We were standing in an open field only a hundred few yards from our burning village .
11832,a few hundred paces,a hundred few paces,"They let us leave , but most of them followed us at a distance of a hundred few paces , hoping perhaps that the column would begin to drift apart and there would be stragglers to attack ."
11833,a few hundred yards,a hundred few yards,"I wished I could eavesdrop on that conversation , perhaps overhear some words of comfort to share with everyone , but Cuthbert and I were given guard duty on the road a hundred few yards from the camp ."
11834,a few hundred paces,a hundred few paces,"I then spotted more Welsh , this time immediately in front of us and only a hundred few paces distant ."
11835,a few hundred yards,a hundred few yards,"Across the small space of a hundred few yards , our enemy had still not noticed us , intent as they were upon the assault on the camp , although a few heads twisted this way and that , perhaps seeking the source of some new noise they had heard ."
11836,a few hundred paces,a hundred few paces,"By now , we had all moved back a hundred few paces and the right wing was pinned against Stanwick camp ."
11837,a few hundred times,a hundred few times,He says lamely ; we 've had this conversation a hundred few times since New Year 's .
11838,a few hundred meters,a hundred few meters,"Once he dropped below the layer of cloud cover he could see her clearly a hundred few meters away , the delta wing of her craft drifting almost calmly against the persistent wind ."
11839,a sedate 50 miles,a 50 sedate miles,Rhetta kept Streak at a 50 sedate miles per hour until she pulled on to Interstate 24 at Vienna .
11840,a full five minutes,a five full minutes,"My mom , Maggie Sheffield , beat them by a five full minutes ."
11841,a good fourteen minutes,a fourteen good minutes,"I did a riff about good food , good friends , and good company , and thanked God for the station 's "" six pack of songs "" , which left me a fourteen good minutes before I had to talk again ."
11842,a good two minutes,a two good minutes,It took me a two good minutes to get her to show me her ' letter ' .
11843,an extra 6 inches,an 6 extra inches,"But moving the body he could now see it was the body of young man , a boy even , whose height and age had been exaggerated by the wooden hut surround that had given him an 6 extra inches and made him seem much bigger , Alex felt sick , partly with revulsion and partly with fear and the realisation this lifeless body could so easily have been him ."
11844,a good two inches,a two good inches,"He had been joined by a small man , or at least smaller than Alex who was 5 ' 9 , this guy was a two good inches shorter ."
11845,a full 360 degrees,a 360 full degrees,He had no choice though so dropped into the low ground and again surveyed the scene turning a 360 full degrees .
11846,a good 300 yards,a 300 good yards,Turning round he could see the blue helicopter landing a 300 good yards away to the right of the buildings .
11847,a good 12 miles,a 12 good miles,It was a 12 good miles before he came to it and to his surprise it was a better road and it had traffic on it .
11848,a few hundred yards,a hundred few yards,They walked back a hundred few yards and over the road then they started to climb the side of the mountain .
11849,a good hundred yards,a hundred good yards,He pushed it a hundred good yards and then pulled the wires from under the dash .
11850,a few thousand years,a thousand few years,"Consequently , Verne discusses the scientists perplexity with how the sun could burn more than a thousand few years on chemical energy , concluding it must be replenished by matter , such as comets , falling into it ."
11851,a still formidable 92 members,a 92 still formidable members,"And that meant cutting back the hereditary peers , down to a 92 still formidable members or so ."
11852,a staggering thirty dollars,a thirty staggering dollars,She was going to buy something of quality - a dress for a thirty staggering dollars !
11853,a full three weeks,a three full weeks,"It had been a three full weeks , actually ."
11854,a short 30 minuets,a 30 short minuets,Jane Novalis 's alarm buzzed a 30 short minuets before her shift change .
11855,a few hundred yards,a hundred few yards,"What Tom took to be the main entrance to the camp was sited a hundred few yards from the coast , and guarded by a couple of bored - looking sentries ."
11856,a few hundred yards,a hundred few yards,"Out of the corner of his eye , he caught a flash of movement and swivelled around to see a figure , clad in a dark robe and hood , appear over a rise in the ground only a hundred few yards away ."
11857,a few hundred yards,a hundred few yards,"Half - dressed and disheveled , I paused on the sidewalk , transfixed by a small island a hundred few yards from where I stood ."
11858,a solid ten points,a ten solid points,"I had managed to stay calm most of the day , reminding myself that our own internal polling had shown Levi ahead in the race by a ten solid points for several weeks ."
11859,a few hundred feet,a hundred few feet,"There , a hundred few feet ahead , sat a row of black Lexus SUVs ."
11860,a few hundred yards,a hundred few yards,I realized we were only a hundred few yards away .
11861,a few hundred dollars,a hundred few dollars,"I talked to the folks at the desk and learned that I can actually change my plans without a whole lot of cost , other than a hundred few dollars extra for a flight change ."
11862,a few hundred people,a hundred few people,"It 's a relatively small affair , only a hundred few people ."
11863,a few thousand residents,a thousand few residents,"With only a thousand few residents , the people of this village still fended very much for themselves ."
11864,a few hundred people,a hundred few people,"There were still a hundred few people in the field , but they were Thirteenth Tribe members who would be remaining ; they came to see everyone else off ."
11865,a few thousand years,a thousand few years,""" That was a thousand few years ago , Hephaestus , "" Zeus said while leaning back in his chair . """
11866,a few hundred years,a hundred few years,It had been a hundred few years since he saw Apollo .
11867,a full ten seconds,a ten full seconds,"He eyeballs me for a ten full seconds then says , "" Keeps the needles out of my arms , kid ."
11868,a full ten seconds,a ten full seconds,It takes me a ten full seconds to realise she was topless .
11869,a hard six days,a six hard days,It was a six hard days for Terrell .
11870,a few hundred yards,a hundred few yards,The pilot eased a hundred few yards south and returned to his view .
11871,a prompt fifteen minutes,a fifteen prompt minutes,"A long , black Cadillac arrived in a fifteen prompt minutes ."
11872,a carefree ten months,a ten carefree months,Venkat was sold on the trip by my promises of a ten carefree months consisting of nightclubs and girls .
11873,a lengthy ten minutes,a ten lengthy minutes,"After a ten lengthy minutes , mother appeared satisfied ."
11874,a solid two hours,a two solid hours,After talking for a two solid hours with her she asked if I was interested in helping her with the diner since she was low on good help .
11875,a few million dollars,a million few dollars,There were obviously not that many scientists willing to risk their credentials and research even for a million few dollars in stolen bank and payroll funds .
11876,a few thousand years,a thousand few years,"A young race of beastmen that resembled large predatory cats who walked upright , known to the land for only a thousand few years ."
11877,a stressful last two weeks,a two stressful last weeks,It was a two stressful last weeks of year 10 .
11878,a hard six months,a six hard months,"The nursery had recently had an extension , it was a six hard months of restricted access to the garden and constant building work going on , however by the looks of the finished construction it was worth it ."
11879,a ridiculous 4 hours,a 4 ridiculous hours,"We waited a 4 ridiculous hours over all in A&E. First , a nurse called me in and took my blood pressure ."
11880,a few hundred paces,a hundred few paces,The spring carried on for only about a hundred few paces east from its source and then petered out .
11881,a few hundred paces,a hundred few paces,"That was fortunate for us , for when we opened that second door , we sighted people standing a hundred few paces away ."
11882,a few hundred years,a hundred few years,"I imagined this pen to be a hundred few years old , judging by the height of the kansers ."
11883,a few hundred years,a hundred few years,"It had to be older than the Spood occupation , and they had been here for at least a hundred few years , judging by what Smerkas had revealed before we descended into Gor - jar 's lair ."
11884,a few hundred metres,a hundred few metres,The station is only a hundred few metres further along the track ; trains arrive and depart from it fair constantly .
11885,a long thirty minutes,a thirty long minutes,It was a thirty long minutes of hot flushes and palpitations .
11886,a mere fifteen minutes,a fifteen mere minutes,"It was situated a fifteen mere minutes away , just off Van Clompen strasse , the dominant bank in a little square set aside entirely for the purposes of speculation and paper commerce ."
11887,a good four inches,a four good inches,"Jessie was a four good inches shorter than me , and had been for as long as I 've known her ."
11888,a mere thirty seconds,a thirty mere seconds,I swam from the ten - foot end to the three foot in a thirty mere seconds .
11889,a good three minutes,a three good minutes,She had merely peered over the edge for a three good minutes before jumping .
11890,a guaranteed eight hours,a eight guaranteed hours,Switching my neural implant to sleep mode gave me a eight guaranteed hours rest .
11891,a few hundred yards,a hundred few yards,"So you start thinking you need to make a cut a hundred few yards wide ( and several miles long ) , and end up making a cut wider and wider – and still miles long ."
11892,a full ten minutes,a ten full minutes,We stood silently for a ten full minutes looking around us and listening for more running .
11893,a few hundred paces,a hundred few paces,"The Petit - Luxembourg was only a hundred few paces down the road , and the whole neighborhood was a hive of Cardinalists ."
11894,a good ten people,a ten good people,"We could cram a ten good people in one of these puppies , if we tried ."
11895,a full two minutes,a two full minutes,I stared at it for a two full minutes before opening my email .
11896,a good twenty minutes,a twenty good minutes,"Doing the math in my head , it was going to take a twenty good minutes to get from The Shack to my place , and I did n't have any doubt the cock - blocking cab driver was going to obey all traffic laws and stop at all the red lights ."
11897,a full thirty seconds,a thirty full seconds,She remained silent for a thirty full seconds before Julian started dropping every curse word in existence .
11898,a few million years,a million few years,"Their civilizations rose and fell over the course of a few hundred thousand years , and all had perished and disappeared forever ; the last ones fading out a million few years before humanity was born ."
11899,a mere ten or twelve years,a ten or twelve mere years,"As I heard it , the lad was a ten or twelve mere years of age ."
11900,a mere ten minutes,a ten mere minutes,After a ten mere minutes in Society ?
11901,a further 14 kilometres,a 14 further kilometres,This was a 14 further kilometres out into the countryside from Flowerdale .
11902,an extra 16 acres,an 16 extra acres,"This was fine with the neighbours ; it gave them the use of an 16 extra acres , free of charge , and at the time we were quite preoccupied with re - building a fallen house etc ."
11903,a good two hours,a two good hours,"The drive was a two good hours away from our place , but Lynnie can not for the life of her remember where they went ."
11904,a good 7 kilometres,a 7 good kilometres,"Cara asked permission to ride her home but we were none too keen as our property was a 7 good kilometres further down the road ; the only good thing was the nature strip was very wide on both sides , so at least she would n't be riding on the road as such ."
11905,a good six inches,a six good inches,"I always thought had his legs been straight , he would have been a six good inches taller ."
11906,a measly 140 kilometres,a 140 measly kilometres,"From Melbourne to Adelaide is quite a long drive , 726 kilometres to be precise , and as we had only managed a 140 measly kilometres so far , it was obvious we needed to press on ."
11907,a mere 635 kilometres,a 635 mere kilometres,"Once again breakfast was made and eaten , we all showered and spruced ourselves up in the motel , then we headed back onto the highway , our destination Norseman a 635 mere kilometres away ."
11908,a good solid ten or twelve days,a ten or twelve good solid days,"That way we should get a ten or twelve good solid days of scouting done , even if we steal a few extra days off ."
11909,a fuckin hundred centuries,a hundred fuckin centuries,Sure I hope dat twat lives for a hundred fuckin centuries .
11910,a few hundred years,a hundred few years,"Indeed , even if such progress does occur , it may only span a hundred few years , as technology , while exciting in concept , brings with it the potential for self - destruction ."
11911,a few hundred miles,a hundred few miles,"Fortunately , they were only a hundred few miles from the embarkation point ."
11912,an additional three hours,an three additional hours,We 're giving you an three additional hours to try to persuade this young woman to come with you .
11913,a few thousand feet,a thousand few feet,""" Only a thousand few feet , "" Merrick said . """
11914,a few hundred degrees,a hundred few degrees,The warmth of Duvalier 's smile dropped a hundred few degrees .
11915,a scant 47 yards,a 47 scant yards,But Jenson kept his vision on the mouth watering prey a 47 scant yards from him .
11916,an extra twenty years,an twenty extra years,"Maybe I went too far , but you can certainly find something that makes you look forty when you are seventy , or perhaps gives you an twenty extra years added to your life , or extends your sexual potency .... you are the expert here . """
11917,a fun three days,a three fun days,It was a three fun days .
11918,a great ten days,a ten great days,It was a ten great days together and one of the longest road trips I took since 1936 .
11919,a few hundred feet,a hundred few feet,The post office was originally located in the Oscawana train station just a hundred few feet from the east bank of the Hudson River .
11920,a good ten yards,a ten good yards,He was playing full - back but he was a ten good yards in front of me .
11921,an extra 3 inches,an 3 extra inches,"So I do , sit down maybe 3 inches closer , which is still maybe 6 inches away , but the especially unsupportive futon "" mattress "" has me sinking an 3 extra inches closer to her thigh with an excuse at the ready in case she readily objects ."
11922,a solid 6 years,a 6 solid years,"I do wonder , being as my own sister was a 6 solid years older than me , so there was no overlap in our respective high school stints ."
11923,a good hundred years,a hundred good years,"Not for a hundred good years . """
11924,a good ten inches,a ten good inches,"Brent was the hulk of the family , a ten good inches taller than me and double my weight , all of it muscle and bone ."
11925,a good five minutes,a five good minutes,We got in a five good minutes of kissing before Mamie pulled up .
11926,a full two hours,a two full hours,"She was hustling to get out the door by 6:30 a.m. , so she could put in a two full hours of work prior to be tied - up in the ridiculous tedium of a third - Friday - of - the - month department meeting starting at nine ."
11927,a full ten seconds,a ten full seconds,"She stared at it for a ten full seconds , considering ."
11928,a full five seconds,a five full seconds,He leaned into the machine and stared at the display for a five full seconds before he finally figured out what he was looking at .
11929,a few thousand dollars,a thousand few dollars,Crooks on TV would go to great lengths for a thousand few dollars .
11930,a few thousand miles,a thousand few miles,"If I did n't like how something was going , I 'd just push my way out a door in that space and back into another , maybe back a thousand few miles of rotation ."
11931,an additional thirty seconds,an thirty additional seconds,"Birds in the trees and squirrels in their burrows would give the silence an thirty additional seconds of immobile caution , just to be sure the perceived threat was over ."
11932,a short forty months,a forty short months,"In a forty short months , I made some friends and finally began to feel at home in Japan . """
11933,a good five inches,a five good inches,Yuri overshadowed Frank by a five good inches and Dennis would make Yuri look average .
11934,a narrow four miles,a four narrow miles,"They cruised past Gdansk on the third day , out about fifty miles from shore , heading North through the Ore Sund passage between Copenhagen and Malmo and then into the Kattegat strait that separated Denmark from Sweden with only a four narrow miles of water ."
11935,a fast thirty minutes,a thirty fast minutes,Simon passed through immigration and customs in a thirty fast minutes and he chose the first man to offer a taxi .
11936,a few hundred horsemen,a hundred few horsemen,"Grandfather then reminded them that Subotai 's thousands of undefeated , mounted Mongols were not the Chinese , who had attacked with only a hundred few horsemen and about a thousand foot soldiers ."
11937,a short fifteen minutes,a fifteen short minutes,"Wasting no time , Luke brought them to the Sports Palace in a fifteen short minutes , arriving only seconds before the scheduled six p.m. start time ."
11938,a couple hundred yards,a hundred couple yards,"But the top of the butte is a hundred couple yards across , a little forest in the center , and the rest fields and rocks ."
11939,a few hundred years,a hundred few years,"A nation that becomes the most powerful in the world can , in a hundred few years or less , become among the least ."
11940,a few hundred dollars,a hundred few dollars,Had I gotten it new it would all have been a hundred few dollars .
11941,an extra fifteen pounds,an fifteen extra pounds,"I know that 's an fifteen extra pounds , but it 's part of your equipment and you 'll be evaluated on it ."
11942,a sedate twenty knots,a twenty sedate knots,He backed off on the throttles and headed in the direction of Khamsin at a twenty sedate knots .
11943,a full five seconds,a five full seconds,Mario took a five full seconds to evaluate the situation and another few seconds to size up his options .
11944,a good forty feet,a forty good feet,"It 's a forty good feet to the house . """
11945,a good fifty feet,a fifty good feet,"As Zoey planed out at the bottom of the hill , her tube came to an abrupt stop where the snow ended , a fifty good feet from the edge of the clearing ."
11946,a good thirty seconds,a thirty good seconds,"She did so for a thirty good seconds before unraveling the shopping bag and gathering items into it from inside her desk , while trying to compose herself before Mr. Benton came back ."
11947,a few thousand feet,a thousand few feet,"They knew of a few spots in the woods off some side roads , a thousand few feet above the valley , from their years of searching for sites that allowed them to truly get away from the world of manufactured stimuli ."
11948,a good ten feet,a ten good feet,"The tremendous force drove the immovable Stone back a ten good feet , plowing up the turf with his feet as the momentum carried them ."
11949,a good five minutes,a five good minutes,"Hansum was standing by the city gate , tapping his communications node off and on for a five good minutes ."
11950,a good fifty feet,a fifty good feet,The tree 's trunk was at least five feet across and its canopy spread out a fifty good feet in diameter .
11951,a good ten minutes,a ten good minutes,"Hansum broke out into a trot , running for a ten good minutes , trying to tire himself out ."
11952,an amazing 550 miles,an 550 amazing miles,"If you piled one piece of paper on top of another for every human alive now , the pile you would get would be over 2,300,000 feet or an 550 amazing miles high . ("
11953,a good fifty pounds,a fifty good pounds,The man had a fifty good pounds of bulk on him and was still losing the fight .
11954,a few thousand dollars,a thousand few dollars,It amazes me when people commit a federal crime for a thousand few dollars .
11955,a scoreless 120 minutes,a 120 scoreless minutes,They succumbed to the Dutch on penalties after a 120 scoreless minutes .
11956,a stunning 2.83 goals,a 2.83 stunning goals,"This World Cup produced a 2.83 stunning goals a game in the group stage , a 35 % increase over 2010 ."
11957,a few hundred pirates,a hundred few pirates,These are kind words for a man who had journeyed to hell so many times that the sight of a hundred few pirates held no terror .
11958,a good ten floors,a ten good floors,Dynamo is still a ten good floors above me .
11959,a few million years,a million few years,"So now the shit had hit the fan , and humankind had reached their Check - point Charlie wassisname on their biggest planet - Jupiter I think it 's called – a million few years too early , and we had n't been ready for them ."
11960,a few hundred yards,a hundred few yards,"Yellow and reddish sulphur stretched away between the rocky silicates to a jagged horizon , a hundred few yards above the level of the command - post and perhaps two miles away ."
11961,a long ten years,a ten long years,It 's been a ten long years .
11962,a good fifteen minutes,a fifteen good minutes,""" Any fifteen minutes is a fifteen good minutes , "" she answered ."
11963,a mere three kilometers,a three mere kilometers,The spectacle was impressive ; the amorphous cloudy formation had become now an enormous and black cloud that lowered gradually and in several concentric circles until almost touching the surface of the water to a three mere kilometers of where we were .
11964,a full ten minutes,a ten full minutes,I spent a ten full minutes deciding whether I should put that single kiss after my name .
11965,an extra five kilos,an five extra kilos,"I hope I 'm wrong , but ca n't help picturing Noah waltz in with an five extra kilos round his middle or enormous plugs in his ears ."
11966,a full fifteen minutes,a fifteen full minutes,Lily has been sitting in the family room for a fifteen full minutes before I realize she 's trying not to cry .
11967,a good sixty or seventy kilos,a sixty or seventy good kilos,"They had managed to get out of the immediate area quickly while lugging a body that weighed , at minimum , a sixty or seventy good kilos in Gilles ' uncertain estimation ."
11968,a good nine times,a nine good times,The guy was making a nine good times what either one of them was making .
11969,a good thirty seconds,a thirty good seconds,It was a thirty good seconds before there was a response .
11970,a good six or seven hours,a six or seven good hours,From Paris to Molsheim was a six or seven good hours by train .
11971,a few hundred years,a hundred few years,"I was shocked to find out that it 's a fairly new teaching , recognized just a hundred few years ago ."
11972,a good two to three hours,a two to three good hours,"Nikki sighed once more , knowing it would be a two to three good hours before she saw her family again ."
11973,a mere six metres,a six mere metres,He was a six mere metres away from the most valuable jewels in the seventeenth - century world .
11974,a lousy three hours,a three lousy hours,"Albany 's only a three lousy hours from here . """
11975,a good four inches,a four good inches,"Da Bear , a four good inches taller than Steve and probably fifty pounds heavier , takes a violent step toward Steve ."
11976,a mere two hours,a two mere hours,"With the wind squarely behind them , they just managed the leg without jibing – passing close below the steep cliffs of the headland a two mere hours ' sail later ."
11977,a good five feet,a five good feet,"The other runner , also a beautiful woman , had run smack into Lancelot , pushing him back a five good feet before he gained his balance ."
11978,a good twenty minutes,a twenty good minutes,"The horses had been walking on a steady incline for a twenty good minutes and Jase looked over at Tash with an anticipatory smile . """
11979,a full three tendays,a three full tendays,"Privately , I 'd enjoyed the blue hair , but it started a fashion for lurid hair colors amongst the younger Curia women , and that sent their fathers , the Prava , into apoplexy for a three full tendays ."
11980,a clear eighty votes,a eighty clear votes,"If the first choice gets a eighty clear votes , that candidate wins ."
11981,a full five minutes,a five full minutes,"He sat there for a five full minutes , muttering four - letter words , hoping it would come back , scared that it would n't ."
11982,a good twenty minutes,a twenty good minutes,"Here – here are all of my notes , "" and with that , he pivoted his laptop her way and she was silent for a twenty good minutes as she read and re - read his electronic log ."
11983,a good ten years,a ten good years,"I had a ten good years with her . """
11984,an absolute two thirds,an two absolute thirds,"So it weakened the Congress , by dividing it into two houses , and making a conviction in the Senate , subject to an two absolute thirds vote of all the members ."
11985,a good six hours,a six good hours,""" Dinner is a six good hours away , dear , "" Miss Robbins responded , eyeing Vanora thoughtfully . """
11986,a young fifty years,a fifty young years,I 'm a fifty young years !
11987,a good fifty paces,a fifty good paces,One of the princesses was watching from a fifty good paces away .
11988,a few hundred years,a hundred few years,This metaphor was the driving force of the Reformation a hundred few years ago .
11989,a busy two days,a two busy days,It had been a two busy days for Garth .
11990,a few hundred kilometers,a hundred few kilometers,"Grasso and Vyazemsky were at Baz-2 , a hundred few kilometers from Baz-1 , and Vyazemsky was the head here ."
11991,a few hundred meters,a hundred few meters,"The first time a bright orange ball flew a hundred few meters from the "" Tor "" , Sergey barely noticed it ."
11992,a couple hundred yards,a hundred couple yards,Even though Tom kept the truck at 90 mph past the farms the van stayed a hundred couple yards behind them .
11993,a few hundred dollars,a hundred few dollars,"The cost varies from a low of a hundred few dollars to $ 1,300 or so ."
11994,a few hundred miles,a hundred few miles,"However , they lived a hundred few miles away , so it took a while to gather her modest belongings ."
11995,a few thousand dollars,a thousand few dollars,How much difference would it have made if I saved a thousand few dollars by shrewd negotiating ?
11996,a full five seconds,a five full seconds,"We stared at each other for a five full seconds , before the nurse slowly backed away . """
11997,a good fifteen years,a fifteen good years,"Even though he 'd been Amira 's senior by a fifteen good years , he 'd had no children anyone knew of , not with Amira or any other woman , and so by law all his holdings passed to her ."
11998,a few hundred yards,a hundred few yards,"It sat atop a low hill , a hundred few yards from the road , bracketed on either side by forest ."
11999,a bare ten days,a ten bare days,"Then the news had come that Edon was leaving the city again , a ten bare days after arriving ."
12000,a few hundred men,a hundred few men,"That matter had barely been settled when the king departed the city again , at the head of a small force , only a hundred few men ."
12001,a few thousand men,a thousand few men,Even Mason understood that his presence was n't needed to oversee a force of just a thousand few men .
12002,a few hundred yards,a hundred few yards,The unmistakable standard of Relindos stood tall among the mass of soldiers a hundred few yards from the gate .
12003,a few hundred yards,a hundred few yards,"Razh had the ships at the docks warned that a mage battle might be coming , and that they 'd be safer if they put a hundred few yards of water between them and the city ."
12004,a few hundred yards,a hundred few yards,"This time they were organized into two large groups , a hundred few yards apart , facing south toward the city ."
12005,a few hundred yards,a hundred few yards,Dardan could see that Edon 's army had concentrated itself at a spot a hundred few yards straight out from the breach in the wall .
12006,a few hundred yards,a hundred few yards,"Edon 's men were tiring as well , but still they were only a hundred few yards away ."
12007,a good fifteen minutes,a fifteen good minutes,"As he follows the river through one of the gaps , he is encased in their shadows , and he does n't emerge for a fifteen good minutes ."
12008,a long two weeks,a two long weeks,This was going to be a two long weeks .
12009,a good ten minutes,a ten good minutes,It was a ten good minutes before Trin reached the edge of the dark nut grove .
12010,a few thousand dollars,a thousand few dollars,They 'll never miss a thousand few dollars . '
12011,a few hundred casualties,a hundred few casualties,I 'm not talking about a hundred few casualties .
12012,a further ten minutes,a ten further minutes,"She questioned and probed Brad 's past for a ten further minutes , then smiled at him ."
12013,a further ten minutes,a ten further minutes,"They lay locked together for a ten further minutes , not talking , just kissing , caressing , and enjoying their special time ."
12014,a further ten minutes,a ten further minutes,Brad and Callum sat talking for a ten further minutes .
12015,a discreet thirty yards,a thirty discreet yards,Brad followed a thirty discreet yards behind .
12016,a further thirty minutes,a thirty further minutes,They discussed the nerve gas and its effectiveness for a thirty further minutes .
12017,a good ten degrees,a ten good degrees,"Even though it was summer , he thought it was probably a ten good degrees cooler than Los Angeles ."
12018,a good thirty minutes,a thirty good minutes,Carrick spent a thirty good minutes inspecting the vessel .
12019,a few thousand or million years,a thousand or million few years,"If quantum cosmologists can theorise about the first 10 - 43 second after the Big Bang , thirteen billion and more years ago , and still , rightly , be counted as practising hard science , it 's a shame that conjectures we do make about the living world a thousand or million few years hence have to be treated , not even as soft science , but as science - fiction ."
12020,a few thousand years,a thousand few years,It has been a thousand few years since Adam and Eve first came into being .
12021,a peaceful three quarters,a three peaceful quarters,It was a three peaceful quarters of an hour in the pool and soon lunch was calling her .
12022,a lonely fifteen minutes,a fifteen lonely minutes,"Chris sat there for a fifteen lonely minutes before the door suddenly opened again . """
12023,a few hundred dollars,a hundred few dollars,"After a few minutes of searching , she found a hundred few dollars and some loose change ."
12024,a further two minutes,a two further minutes,"After a two further minutes , she had completely assembled the Accuracy International AWM sniper rifle , ready and pointing downwards at an angle of roughly 60 degrees ."
12025,a few hundred acres,a hundred few acres,"I expect to keep Peachblossom in the family , with a hundred few acres as a homefarm ."
12026,a few hundred feet,a hundred few feet,Flowering vines and corn plants brushed and scraped against the station wagon as Spyder drove hard towards a small farmhouse a hundred few feet ahead .
12027,a few hundred feet,a hundred few feet,"Soldado pointed to great trees a hundred few feet down the shoreline from the yacht , the size of the green trees showing well the many centuries they had stood and grown big with life . """
12028,a few hundred yards,a hundred few yards,"The boat then shot forward into the dark river night , towards the twinkle of the yacht lights a hundred few yards distant ."
12029,a good sixty to seventy feet,a sixty to seventy good feet,"The diesel speeded and the bulldozer moved quickly into the remnants of the house , its tracks crushing the few studs that were still erect As the bulldozer reached the other side of the wrecked house the timbers and electrical wiring and plaster had combined into a large roll of trash , the roll almost as high as the roof gutter of the original house and the circumference a sixty to seventy good feet ."
