idx,prefixes,aann,default_ann
10814,Cullen turned to trace the voice and spotted,a good thirty guards,thirty good guards
10815,She knew she 'd slept for at least,a good eight to nine hours,eight to nine good hours
10816,Too bad it remained,a good three feet,three good feet
10817,The queen weighed the potential candidates for weeks before deciding on the woman who 'd nursed,a good fifteen kids,fifteen good kids
10818,""" That 's too bad , "" Alistair was still as jolly as before , unaware he stepped into any offense , "" I was",a good five bottles,five good bottles
10820,"Hilton had 132 receptions for 1,944 yards and 12 touchdowns in his first two NFL seasons , but he also had",a ridiculous 229 targets,229 ridiculous targets
10821,"In 2004 , then - rookie quarterback Ben Roethlisberger took the NFL by storm , completing 66 percent of his passes , throwing 18 touchdowns to only 11 picks , and winning",an unreal 13 games,13 unreal games
10823,Tom forgot all about Reese 's last throwaway challenge by the time he got back to their room late that night after a less than encouraging meeting with his advisor and,a solid four hours,four solid hours
10824,This went on for,a further two weeks,two further weeks
10825,""" I 've just had a text from my girlfriend saying she 's woken up to",a good eight inches,eight good inches
10826,It 's only,a solid thirty minutes,thirty solid minutes
10827,After what seemed like,a good 30 seconds,30 good seconds
10828,I 'm not going to let you sit here for,a whopping 45 minutes,45 whopping minutes
10830,She skidded to a halt,a good 20 feet,20 good feet
10831,"February 27 , I went into labor , it was",a long two days,two long days
10833,Having gone through,an uproarious and tense two weeks,two uproarious and tense weeks
10834,You managed to stay off the poison,a full fifteen minutes,fifteen full minutes
10835,There was no way his parents could spring,an extra sixteen dollars,sixteen extra dollars
10836,"And by the end of it , I 'm stench - free for",a whole 48 hours,48 whole hours
10837,"He was n't short , actually taller than most men I had run across , yet I still loomed",a decent 3 to 4 inches,3 to 4 decent inches
10838,I guess that means I have to do,an extra twenty minutes,twenty extra minutes
10839,It only took,a mere five seconds,five mere seconds
10840,It was,a long fourteen hours,fourteen long hours
10841,"Despite the nearness of our ages , I had",a good six inches,six good inches
10846,"The wall was the standard six feet high , which meant that whoever came through this window had to leap",an additional eight feet,eight additional feet
10849,After,an interminable two seconds,two interminable seconds
10851,It had been,a difficult 16 years,16 difficult years
10852,"For her part , Sharon held on for",a good eight seconds,eight good seconds
10855,Those women who return from 12 months maternity leave and complete,a further 6 months,6 further months
10856,Should there be extenuating circumstances an extension of financial support of up to,an additional 18 months,18 additional months
10857,"Dr Bernie King retired on her 60th birthday in July 1989 and I was due to depart on my 65th birthday , 24 September , 1989 as medical staff were allowed to work",a further five years,five further years
10858,The other lady glares at her for,a full three minutes,three full minutes
10859,It took,a good five minutes,five good minutes
10861,""" Look we 're",a good five miles,five good miles
10863,"A moment later he led us upstairs to the room furthest back , which had",an additional two guards,two additional guards
10864,"Mid-1989 dealt Jon a whistlestop type sales trip to Brisbane , despite Helen 's protestations about his departure for",a whole two nights,two whole nights
10865,It was,a very nice one years,one very nice years
10866,Unfortunately his quietness was n't contagious and she proceeded with,a concentrated ten minutes,ten concentrated minutes
10867,After working the family subject over for,a good fifteen minutes,fifteen good minutes
10870,"Thoroughly engaged , Jon and Annie returned to Melbourne early on the Sunday morning so that the ' cake shop lady ' could get in",a quick five hours,five quick hours
10872,And Laura arrived,a mere three hours,three mere hours
10873,"My wife Lynnie set off on her adventure to pick up Charlie , I say adventure because Lyn 's sense of direction is not the greatest , and because Charlie was located in the suburb of Springvale , which is",a good 30 kilometres,30 good kilometres
10874,A few months later Lynnie and I decided to have a weekend away at a place called Warrnambool ; this is,a good three hours,three good hours
10876,It is the 4th longest zip line in the world that measures,a whopping 2.6 miles,2.6 whopping miles
10877,Your second goal may be to lose,an additional 5 to 10 pounds,5 to 10 additional pounds
10878,And let us say there were 100 people in each group for,a total 300 people,300 total people
10879,Storing,"an extra 3,500 calories","3,500 extra calories"
10880,"If you were to gain 5 to 10 pounds of lean muscle mass , you will burn",an additional 100 to 200 calories,100 to 200 additional calories
10882,I warn you that it 's well known among the public who came up with that idea that when the Sun Lord balks a requested appearance it means that he 's furious with something and this balking has happened before but usually lasting,a traditional three suns,three traditional suns
10886,She 's,a good twenty feet,twenty good feet
10888,The exchange which took place,a full 6 weeks,6 full weeks
10889,The tribunal ignores the fact that the redundancy process for the Appellant did not commence for,a further 5 weeks,5 further weeks
10890,Having regard to the terms of this exchange of emails and the fact that the redundancy consultation process did not commence for,a further 6 weeks,6 further weeks
10891,If you have,a spare 15 minutes,15 spare minutes
10892,"Thanks for your help on this , I only have",a final three questions,three final questions
10893,You should also lodge,an additional 6 copies,6 additional copies
10894,The fact that,a mere 3 lines,3 mere lines
10895,The Tribunal was bound to ask itself why the Claimant 's severance package was being calculated in February 2006 when his role had not yet been identified as redundant and consultation would not begin for,a further 3 months,3 further months
10896,"Why the oSDM Team , since January 2006 , recruited",an additional 8 employees,8 additional employees
10897,The fact that,a mere 3 lines,3 mere lines
10898,The Tribunal was bound to ask itself why the Claimant 's severance package was being calculated in February 2006 when his role had not yet been identified as redundant and consultation would not begin for,a further 3 months,3 further months
10899,It was the tallest building on campus —,a full eight floors,eight full floors
10903,Biologists have had to conjure up a strange accidental evolutionary process lasting,"a mere 10,000 years","10,000 mere years"
10906,She inches her pants off of her boney waist and reaches down and pulls out,an additional three rolls,three additional rolls
10907,"She knew Chloe was getting anxious , but Ellen knew also , with their Mexico trip",a mere four days,four mere days
10912,The busboy said it was,a good eight -feet,eight good -feet
10913,It was,an uncomfortable ten minutes,ten uncomfortable minutes
10915,"Last week , we were ordered to make out and grope for",a full five minutes,five full minutes
10916,"Although the guards are changing over and swapping the codes at the end of the hall , it only means I 'll have",an extra three minutes,three extra minutes
10917,It takes,a good ten minutes,ten good minutes
10920,It was,a full six hours,six full hours
10921,My visor tells me that the temperature is,a nice 32 degrees,32 nice degrees
10922,The winds out here read at,a good seventy miles,seventy good miles
10923,We had been viciously going at it for,a good ten minutes,ten good minutes
10929,Our conversation lasts,a good five minutes,five good minutes
10930,It 's been,a long two weeks,two long weeks
10934,She told me you could bounce on a bus with no shocks and wake up feeling like you had,a great eight hours,eight great hours
10937,It had been,a solid fifteen minutes,fifteen solid minutes
10938,"However , it was",a good ten minutes,ten good minutes
10939,And,a further three miles,three further miles
10940,The thermometer read,a sticky 74 degrees,74 sticky degrees
10941,She pulled the car to the hard shoulder and spent,a confusing twenty minutes,twenty confusing minutes
10943,You all drink and banter for,a good twenty minutes,twenty good minutes
10946,""" We have",a good three hours,three good hours
10949,"But she will not die , because she is given a place by God and given",a further 1260 days,1260 further days
10953,But you 'll have,a whole two weeks,two whole weeks
10954,"Early this year a letter from the developers had advised the Council to forestall purchase of the site pending publication of the Structure Plan , as if","a further 1,500 houses","1,500 further houses"
10955,The length of the exclusive right is chosen by each burial authority and theirs was for 50 years and during the last 5 years of the 50 year period they notify the registered owner and ask if he / she would wish to purchase the right of burial for,a further 10 years,10 further years
10956,"On looking back through the year , the Burials Committee had only had the opportunity to meet five times and the total Council time spent on these meetings , and the urgent problem of finding a burial ground to replace the nearly - full churchyard was",a paltry 3 hours,3 paltry hours
10957,"The Council may , upon payment of the appropriate fee , allow extension or renewal , at any time , for",a further 25 years,25 further years
10959,She 'd only been asleep for,a good fifteen minutes,fifteen good minutes
10960,"Yeah , he was",a goody two shoes,two goody shoes
10964,"Of course she was n't pulling a heavy war bow and did n't have the strength or endurance to punch a bodkin through steel plate , but with a lighter hunting bow she could bring down a deer or a pheasant on a fence as well as place a shaft anywhere she wanted on a life - size target from",a good fifty yards,fifty good yards
10968,The thoat stands,a good ten feet,ten good feet
10969,"As closely as I could figure , there remained",a bare thirty days,thirty bare days
10971,His shoving partner was,a good two feet,two good feet
10974,"The clearing transformed , and she was standing",a mere thirty feet,thirty mere feet
10975,Standing there I can see she is,a good three inches,three good inches
10976,"We 're heading further east into Scarborough and although there 's less traffic on the 401 than the usual blockage at rush hour , it 'll still take us",a good twenty minutes,twenty good minutes
10977,"He lashes out with the other arm and it clears the desk , the lounge furniture , and it slams into another wall",a good thirty feet,thirty good feet
10978,In one place it is dented in,a good four inches,four good inches
10980,"She seemed so peaceful and composed , unlike the tear - stained wreck she was",a mere ten minutes,ten mere minutes
10982,Five miles from the Reyliss home and,a mere seventy yards,seventy mere yards
10985,""" Banda , we 've only been on its surface for",a mere four years,four mere years
10986,These two were complete followers who lived their lives for a spoiled rich elfmaid who had only been in town for,a mere four months,four mere months
10987,On'dinn stared at her for,a solid five seconds,five solid seconds
10988,We have,a whopping four or five months,four or five whopping months
10991,After,a good ten minutes,ten good minutes
10993,It keeps us,a safe 100 metres,100 safe metres
10994,For,a full five minutes,five full minutes
10995,"Its tallest building , the Hotel Finlen , stood",a mere seven stories,seven mere stories
10996,He had been waiting for,a good ten minutes,ten good minutes
10997,"Designed to support the weight of the pistol and ammo , it also held",an additional thirty rounds,thirty additional rounds
10998,""" I slept",a good four hours,four good hours
10999,"I normally carried two pouches , each of which could hold two of the ten round mags for a total of forty rounds , but in the bag were",an additional sixteen magazines,sixteen additional magazines
11000,After,an additional two blocks,two additional blocks
11001,We ate together and ended up spending,a good two hours,two good hours
11002,The two guards at the door let us in ; there must have been,a good forty people,forty good people
11003,I was hungry all the time and never turned down a meal ; at first I was losing weight and then I gained,an additional ten pounds,ten additional pounds
11004,The ambulance has to be,a good twenty minutes,twenty good minutes
11005,"While the story was still fresh , people might travel",an extra twenty minutes,twenty extra minutes
11009,"With barely enough time left on the clock to reach the right attitude , I hauled us up",a full 80 degrees,80 full degrees
11012,It 'd been,a bumpy five minutes,five bumpy minutes
11016,The meat could have done with,an extra five minutes,five extra minutes
11017,"Connie said , and he stood up and backed away ,",a good five steps,five good steps
11019,The extension had given him,an extra two centimetres,two extra centimetres
11020,Knowing Quintus to be away on business for,an expected ten days,ten expected days
11021,But it would still be,a long 4 months,4 long months
11022,I 'd had,a crappy two years,two crappy years
11024,"The internet was non - existent , and the information was sporadic and useless , that 's why Nik came to get me , he had",a bad three days,three bad days
11025,After,a gruelling ten minutes,ten gruelling minutes
11027,"At her firm knock , the door opened",a suspicious four inches,four suspicious inches
11028,The front door would be,a full eight feet,eight full feet
11030,Every leader needs,a solid eight hours,eight solid hours
11033,"Eventually , after",a further two hours,two further hours
11034,After,a good ten minutes,ten good minutes
11035,It took,a good six men,six good men
11037,"This is ludicrous , I could be saving",an extra forty dollars,forty extra dollars
11038,So then I vacuum one more time ; I vacuum for,a solid 30 minutes,30 solid minutes
11039,"In fact , we both laughed hysterically for",a solid seven minutes,seven solid minutes
11040,We were in her room for,a good five hours,five good hours
11041,My eyes were now at the back of my head —,a full 180 degrees,180 full degrees
11046,After,a tense ten minutes,ten tense minutes
11049,"Of course , Dominique has taxied his plane up behind some houses , he might have shoved it into the middle of the field where it would have been easy to spot , but no , it takes me",an extra five minutes,five extra minutes
11050,They were,a good ten feet,ten good feet
11051,Time was running out and five o'clock was,a mere fifteen minutes,fifteen mere minutes
11052,"It would only last for two weeks , but it would be",a very memorable two weeks,two very memorable weeks
11054,"The bartender was one of those guys that thought he was witty , "" sure for",an extra four dollars,four extra dollars
11055,As she walked in the door of the Daviess County Public Library she glanced at her watch and noted that she was,a full fifteen minutes,fifteen full minutes
11056,Once Frank locked the door and checked it,a good three times,three good times
11059,Ilya makes,a paltry eight runs,eight paltry runs
11060,"MANHATTAN , NY - Business baron , Henry B. Castiglione , III stood six - foot , two inches and was",a full five inches,five full inches
11061,It was,a good two kilometers,two good kilometers
11063,"After a while I got the feel for it , sailing along a coast road at",a steady fifteen kilometres,fifteen steady kilometres
11064,A glance at a local map revealed we were,a mere eighty miles,eighty mere miles
11069,"She is sadly missed , and I , for one , take many",a quiet five minutes,five quiet minutes
11083,He reached the beach,a full two minutes,two full minutes
11084,The man looked up into his face for,a full seven seconds,seven full seconds
11085,It would be,a hard three years,three hard years
11089,"It was over all too quickly , though ; Danny tried to draw it out to give his teacher as much pleasure as he could , but after",a scant three minutes,three scant minutes
11090,"Monday morning found him at the Grand Hotel on Vandervere Town Square , where he spent",a strenuous three hours,three strenuous hours
11091,I hear,a frightful thirteen steps,thirteen frightful steps
11093,"Everything goes well for some time , I find back the spot where I dug my bomb 3 years ago ( it consisted of a pill capsule filled with explosive yellow powder from bullets detonators , in it I put",a broken 12 volts,12 broken volts
11094,"I know the mind controls the human , we are not animals , and I never had a problem stuffing my erection anytime , but when you 're going to have sex , those testicles really have an effect and playing with men 's excitation , discarding it with an insult while turning your back is",an automatic two tons,two automatic tons
11099,Even though there was well over,a solid two hours,two solid hours
11100,She had strayed up into the hills after her father 's missing sheep and none had seen her for,a full three days,three full days
11101,Cyrillis repeated the word,an additional nine times,nine additional times
11104,I should also mention that it will be,a very painful five minutes,five very painful minutes
11109,"Barefoot , he slid",a good ten feet,ten good feet
11113,"A few years later , Donna 's body rejected his heart and she died , but she had lived",an extra three years,three extra years
11114,"The new hire tried valiantly to call Credit and get the charge dropped , but she eventually gave up , and called a supervisor , who also tried valiantly — holding onto the line for",a good 30 minutes,30 good minutes
11115,"McLoughlin was buried deeper in the rubble , and digging him out took",an additional six hours,six additional hours
11117,It took,a whopping 14 years,14 whopping years
11120,It concluded that for every baby born to a woman in the US it was like adding,an additional 470 years,470 additional years
11121,The jeans had that fit that,an extra ten minutes,ten extra minutes
11122,Alexis was,a full two feet,two full feet
11123,For,a full ten seconds,ten full seconds
11124,"And thus , complexity can not occur with",a mere one or two dimensions,one or two mere dimensions
11125,"Thus , string theoreticians have had to posit",an additional seven dimensions,seven additional dimensions
11126,And it does not exactly burnish scientific credibility for String Theory to argue for the existence of,an unobservable eleven dimensions,eleven unobservable dimensions
11127,After,a further two days,two further days
11128,"Laban was hanging upside - down from his trapeze , his head",a full six feet,six full feet
11129,""" And first place today , for",an impressive three categories,three impressive categories
11130,A manager who had earned four hundred thousand dollars a year and whose retired workers were paid,a piteous forty dollars,forty piteous dollars
11132,"Then there was Sophie , almost a month had passed since she had returned to Thailand spending",an idyllic ten days,ten idyllic days
11136,It was rather,a modest two megabits,two modest megabits
11138,He needed,a good four hours,four good hours
11139,After,a good five minutes,five good minutes
11140,"The next two most cited documents are both chapters in Group Cognition , and the next most cited book is SVMT at",a mere 283 citations,283 mere citations
11141,He was,a good two heads,two good heads
11143,Saffron was,a good ten pounds,ten good pounds
11144,My father did n't look up for,a full two seconds,two full seconds
11149,"They might only be thirty miles away , but it 's not",an easy thirty miles,thirty easy miles
11150,""" The problem I see is that 's",a good fifty klicks,fifty good klicks
11154,The Chief kicked the last of the quick - release catches and Katrina and the load slid out as one and fell,a good ten feet,ten good feet
11155,Took me,a whole two weeks,two whole weeks
11157,After,an exhausting six hours,six exhausting hours
11158,The chime lasted for,a full sixty seconds,sixty full seconds
11159,"Alec was kind of a boy toy ,",a solid three years,three solid years
11160,"A couple of weeks ago , Hope 's turn , she sits down , and instantly she 's confronted by some representative of the local moral majority , this guy shouting and hollering about Babylon and the fires of Hell , Hope produces tears , and screeches , Bonnie shoots out of the backroom and Hope reels away from the visitor , the guy grabbed her , hurt her , and she heads for the back room , leaving Bonnie to be yelled at and threatened for",a good five minutes,five good minutes
11161,"The suspenders a constant since he 'd dropped weight ,",a good 50 pounds,50 good pounds
11162,He wasted,a valuable 5 seconds,5 valuable seconds
11164,""" Folks , it has been",a very fruitful three days,three very fruitful days
11167,"More unsettling for Yoosuf , however , were the occasional phone calls for Hasna , made by a man with whom he had spent",a very uncomfortable seven days,seven very uncomfortable days
11168,"Thankfully , my guy is there at the gym and we get",a good 12 rounds,12 good rounds
11171,She was barely recognisable as the fashionable attractive woman I had met,a mere six weeks,six mere weeks
11172,After sitting there stuck in indecision for,a full ten minutes,ten full minutes
11174,took the next turn and was,a full two blocks,two full blocks
11176,I must 've stood,a good twenty minutes,twenty good minutes
11177,He was tired for,a whole 3 weeks,3 whole weeks
11178,This makes him bounce,an additional 6 feet,6 additional feet
11179,"Even if the prey was something as coveted as a Randian scout ship , a gem of a craft that Damon had lusted for",a good five years,five good years
11182,"Ah , but you did n't tell them how you got scolded by the shopkeeper afterward for",a solid ten minutes,ten solid minutes
11183,You 'd better get that through your snotty head or this will be,a really miserable six weeks,six really miserable weeks
11184,The other woman was,a good two inches,two good inches
11185,But he 's seventy years of age and for,a good fifty or sixty years,fifty or sixty good years
11189,He and Alberto stayed there for,a good fifteen minutes,fifteen good minutes
11191,It took,a good ten minutes,ten good minutes
11192,Germ had the truck stop,a good fifty feet,fifty good feet
11196,"It 's unlikely that the difference will be noticeable in performance , although some might argue that",a very fast four beats,four very fast beats
11197,"This transition begins to undermine the original tonic key after four measures , but it takes",a full fourteen bars,fourteen full bars
11198,The two - bar phrase continues to be developed for,an additional four measures,four additional measures
11199,"The horns then begin the same motive on dominant , but they 're answered this time by a more complex passage , one that introduces both chromatic lower neighbors and across - the - bar ties as it cleverly extends the phrase for",an additional four bars,four additional bars
11201,"He was a little on the short side , standing 5'6 "" tall , weighing",a solid 160 pounds,160 solid pounds
11202,"Old Teacher "" was a jest , since I was",a mere seven seasons,seven mere seasons
11204,Your temp is,a full two degrees,two full degrees
11206,I 've been flying since I was,a least six months,six least months
11209,He was,an easy 6 inches,6 easy inches
11211,Had I kept my head pointed toward my computer screen for,a mere ten minutes,ten mere minutes
11212,"If they get pregnant , that 's",a solid two to three years,two to three solid years
11214,The jobs that he worked were rotating shifts and a lot of times he would have to be called in for maintenance calls and so anytime he was called in for work it was,a mandatory 4 hours,4 mandatory hours
11217,Oliver finally finished after,a straight five minutes,five straight minutes
11220,"Took a little longer than that — about two months ,",a very hard two months,two very hard months
11221,"It happened when the Children of Israel were about to enter the promised land , but their fearful response triggered a chain of events that resulted in their wandering in the wilderness",an additional 40 years,40 additional years
11228,"You know , the ones where clouds drifted about in their melodramatic melancholy , and the sun was hidden from view and it was just",a solid 70 degrees,70 solid degrees
11230,""" Jimmy , I 've known you for ten years , and it has been",a great ten years,ten great years
11231,Relief lasted for,a full sixty seconds,sixty full seconds
11232,"Good idea Einy , we 'll keep it to",a maximum four hours,four maximum hours
11234,We waited for,a good fifteen seconds,fifteen good seconds
11236,I 've stayed,an extra three hours,three extra hours
11239,"I lean over to pick one up , completely blind to the road for",a good 20 seconds,20 good seconds
11240,"Ranger is catching up quick , rehydrating with",a quick seven beers,seven quick beers
11241,I waste,a good 20 minutes,20 good minutes
11242,"We pull up outside the building , and even though it 's",a good ten minutes,ten good minutes
11243,""" Just think about it ,",a whole three people,three whole people
11244,The plan started,a whole five seconds,five whole seconds
11245,The little guy is making it,a good four feet,four good feet
11247,"Personally , I would 've liked to hear those things",a good twenty years,twenty good years
11248,I told him he 'd need one when we met up not long ago and he had,a good twenty people,twenty good people
11249,I 'm,a good twenty yards,twenty good yards
11250,I think it 's been,a good two or three years,two or three good years
11252,No way it 's been,a full ten minutes,ten full minutes
11253,The thing sticks out,a good two feet,two good feet
11255,"By the time he 's through , my breath takes",a full ten seconds,ten full seconds
11256,""" Great idea , "" she replies and waves her hand to throw the guard",a good fifty feet,fifty good feet
11257,Julia had been beaten and abused for,a full three weeks,three full weeks
11258,"She had been given her own funds that day by the family ,",an entire ten dollars,ten entire dollars
11259,She heard someone walking up to her door,a full thirty seconds,thirty full seconds
11260,As you all know the law requires for a private troop to have,a least seven soldiers,seven least soldiers
11261,"I even managed once to create one I was particularly proud of , which had",a whole three heads,three whole heads
11262,"A few nights before , he had spent",a solid three hours,three solid hours
11264,The General can manage without you,an extra five or ten minutes,five or ten extra minutes
11265,Marietta had died in her sleep,a scant twelve hours,twelve scant hours
11267,The advanced package would include all of these filters and,an additional 15 filters,15 additional filters
11271,""" Oh , yes , "" Caroline breathed after",a solid twenty minutes,twenty solid minutes
11273,"The two girls were the same age as Rachel , but they were",a good two inches,two good inches
11274,It 's been,a long three weeks,three long weeks
11276,"The trip back to shore took only five minutes , but it was",a further five minutes,five further minutes
11277,Her client was,a good twenty feet,twenty good feet
11279,It had been,a full three years,three full years
11283,I give him,a further ten minutes,ten further minutes
11284,"Instead now , I clip the edges of the lawn , rumble out the mower and begin the first cut of the season - a little early I know , but the grass is dry enough , and",a good five degrees,five good degrees
11285,"One 's prowess in the pugilistic arts also seems to be in direct proportion to one 's social score , which means in short measure I am left in an immobile heap , keyboard frozen , virtual stars circling my head for",a full five minutes,five full minutes
11287,"In time , I found a guy in the hostel that sold",a solid three grams,three solid grams
11291,"The waves were really good , a three or four foot face making a barrel only the smallest grommet or monkey could get in , and they broke for",a good sixty meters,sixty good meters
11295,"While it was in excess of forty degrees Celsius outside , the barley tunnels ran at",a cool eighteen degrees,eighteen cool degrees
11296,""" That was",a fast two miles,two fast miles
11297,""" The zombies were",a good twenty yards,twenty good yards
11300,She did n't answer for,a good 20 seconds,20 good seconds
11301,He was out of sight for,a good 15 minutes,15 good minutes
11302,"And even though he personified a shallow , vain man , not even he could imagine wasting such",a magnificent four walls,four magnificent walls
11303,She must have driven,an additional 1000 yards,1000 additional yards
11305,I opened my own mouth,a good five seconds,five good seconds
11306,It was always Russian roulette whenever I heard her name and it had been,a good two hours,two good hours
11307,What he would n't give for,a good forty winks,forty good winks
11308,Now going on,a persistent thirty minutes,thirty persistent minutes
11309,For,a good twenty minutes,twenty good minutes
11310,She was,a good five feet,five good feet
11314,"It had been standing on its hind legs as it watched them , towering",a good six feet,six good feet
11315,"At the end of the tunnel , which by that time was",a mere five feet,five mere feet
11317,Mark traveled so fast that when he shoulder tackled the massive bear he literally pushed the its massive body back,a good twenty feet,twenty good feet
11320,"Still , his shoulders were broad , and he was",a good six feet,six good feet
11323,After,an unsuccessful six months,six unsuccessful months
11324,"Sunlight poured into the room , and the temperature shot up",a good thirty degrees,thirty good degrees
11325,It 'll take me,a good twenty minutes,twenty good minutes
11326,The holidays were looming —,a mere three weeks,three mere weeks
11327,"He did n't bother making breakfast , his normal routine , instead opting to stand in the gushing hot shower for",an extra ten minutes,ten extra minutes
11328,"She quietly made her way to the front door , watching out the peephole for",a good five minutes,five good minutes
11329,"She backed away from him , putting",a good six inches,six good inches
11330,She 'd at least leaned her head out the window before he pulled over and allowed her to heave for,a good twenty minutes,twenty good minutes
11331,"Without waiting for a reply , or caring if there was one , he took off , shutting the front door behind him before running",a full five miles,five full miles
11338,"Pretty much , but not exactly ; things were oddly askew by about twenty degrees from being",a perfect ninety degrees,ninety perfect degrees
11339,It took,a full five minutes,five full minutes
11340,"Hers 50 years media battle with all the ears of the killers of Eminescu ( which hold power , in different forms , for",an staggering 100 years,100 staggering years
11341,"Hers 50 years media battle with all the ears of the killers of Eminescu ( which hold power , in different forms , for",a staggering 100 years,100 staggering years
11342,"A heaving seism followed the proclamation of the motto , and the euphoria that erupted throughout the Capitol drowned out the volume of the broadcast for",a good 10 seconds,10 good seconds
11343,The memory of the last time he walked through the door brought a swift rush of dread which held him in suspension,a good three minutes,three good minutes
11344,After,a strong 20 years,20 strong years
11345,He was,a good fifteen years,fifteen good years
11346,They stretched,a staggering three miles,three staggering miles
11347,""" You 're",a whole two floors,two whole floors
11348,"Being the weekend , KariLyn would probably sleep ' til eight , still",a good three hours,three good hours
11349,The man shot to his feet and backed away,a strong twenty paces,twenty strong paces
11350,"Skye stared at the stars , lying on his bedroll beside the fire Verse and Rowan had put together , though Rowan initially requested",an additional five sets,five additional sets
11351,"However , Kyle also insisted they wait",a whole seven days,seven whole days
11352,Then I 'd be spanked for,a good ten minutes,ten good minutes
11353,They moved away after,a long five minutes,five long minutes
11355,When they all agreed she had knocked,an incredible 16.9 seconds,16.9 incredible seconds
11359,"Just in case , she waited",a full two minutes,two full minutes
11361,The orphanage had paid for her trip via Greyhound and given her,a meager ten dollars,ten meager dollars
11362,He was,a good twenty feet,twenty good feet
11366,He finally remembered,a full two hours,two full hours
11367,That fire 's moving at,a good fifty or sixty miles,fifty or sixty good miles
11368,I 've spent,an entire two pennies,two entire pennies
11369,"A couple of commoners like us you may not believe , but you 've got",a good twenty people,twenty good people
11370,"Against even half a dozen attackers , they would be hard - pressed to give a good fight , and now they were facing",a good four times,four good times
11371,Ollivar wondered if he could support,an additional three teachers,three additional teachers
11372,Her father waited,a long thirty seconds,thirty long seconds
11373,Natalia took another toke and then stared at Octavia in silent concern for,a solid thirty seconds,thirty solid seconds
11374,After,a solid sixty seconds,sixty solid seconds
11376,Natalia was dead quiet while Len sat there for,a solid two minutes,two solid minutes
11377,Dan waited patiently at the lectern for,a solid thirty seconds,thirty solid seconds
11378,"With 48 % of the vote , the Conservatives won 60 out of",an available 81 MEPs,81 available MEPs
11381,He noted,an identical three rows,three identical rows
11383,He was in for,a long two months,two long months
11384,"By week eight — the end of their _ Beginners _ course — she had managed to secure a tiny place in an apartment block not far from her university , but she had gained",a whopping three pounds,three whopping pounds
11393,My sister had n't stopped talking for,a solid ten minutes,ten solid minutes
11394,It 's been,a long eight years,eight long years
11395,"I studied my men 's expressions as I continued , "" I realize this means working",an additional six hours,six additional hours
11396,Make,an extra six beams,six extra beams
11400,After,a jolting thirty minutes,thirty jolting minutes
11403,""" I 've tried Jennifer , but as you know , when the craziness in Colorado occurred , the President was in Europe and he decided to stay",an extra two weeks,two extra weeks
11405,"Each opening act would only play for 30 minutes , while the Dragons would have",a full 90 minutes,90 full minutes
11409,"The drive was pleasant on that breezy , sunny day , and the temperature was",a perfect seventy degrees,seventy perfect degrees
11410,"Then her doctor told her that she needed to gain weight if she wanted to get pregnant , so she gained",a quick ten pounds,ten quick pounds
11411,We 're situated on fifteen acres of property and have the option to purchase,an additional twelve acres,twelve additional acres
11412,"If each home provided ten bedrooms ,",an additional fifteen homes,fifteen additional homes
11414,""" With enough caffeine I can shave off",a good ten years,ten good years
11417,"Additionally , Darmuth was beginning to get used to riding the Payleen , so from Raaj 's calculations , the ragtag group would arrive in Yemenor by late afternoon on the second day ,",a good twelve to fourteen hours,twelve to fourteen good hours
11428,"I was n't walking fast , but had still put",a good fifty feet,fifty good feet
11431,He laughed heartily for,a good fifteen seconds,fifteen good seconds
11432,"Yes , he even visits you when you 're out to sea , not sure how he gets here though , and by the second and third week I 'm sleeping",a good three or four hours,three or four good hours
11437,"Justin occupied the spare bedroom at the rear of the house , and had a fine view over the large back garden ; but the room itself was small , and stuffed with Kris and Gordon 's surplus possessions , leaving space for only",a compact four feet,four compact feet
11438,It still had,a good two hours,two good hours
11441,""" Should be",an interested two days,two interested days
11442,That was,a very fast fifteen years,fifteen very fast years
11444,I estimate you have,a good eight hours,eight good hours
11445,What,a blissful two hours,two blissful hours
11446,Like,a whole three minutes,three whole minutes
11447,It took me,a good five minutes,five good minutes
11448,I stared at my phone for,a good twenty minutes,twenty good minutes
11450,Apply pressure to the wound for,a full 10 minutes,10 full minutes
11451,"Your puppy will run around the living room in circles , bouncing up and down on furniture and act like a lunatic for",a good 5 minutes,5 good minutes
11452,"Even though I 've been an iOS user from the very first iPhone , I had n't really used the Maps app in anger and so after",a frustrating ten minutes,ten frustrating minutes
11455,"The Outeniqua Yellowwood can live for over a thousand years and has been known to grow up to sixty meters tall , although this specimen was",a mere forty meters,forty mere meters
11458,The sun shined bright overhead and the weather was,a warm 45 degrees,45 warm degrees
11460,In,a mere 48 hours,48 mere hours
11461,She was,a good nine inches,nine good inches
11462,The closest was,a mere 200 yards,200 mere yards
11463,"The second fire was closer to the highway ,",a mere 50 yards,50 mere yards
11464,From there Milwaukee was,a mere 150 miles,150 mere miles
11465,"I stopped , he was",a mere twenty yards,twenty mere yards
11466,Balsam Lake was,a mere ten miles,ten mere miles
11468,"I fired my weapon , wildly , missing John by",a good 15 feet,15 good feet
11469,She needed to process what had happened,a mere ten minutes,ten mere minutes
11470,She was quiet for,a good ten minutes,ten good minutes
11471,"Two week 's worth ,",a paltry fourteen days,fourteen paltry days
11473,"He was twenty - eight now and very much a man ,",a muscular 230 pounds,230 muscular pounds
11474,"After high school , she had initially wanted to be a doctor but decided against it because she did n't want to be in school for",an additional eight years,eight additional years
